epoch,train_loss,test_acc
1,3.510007600845573,0.03694255479969766
2,3.502330204076327,0.03826530612244898
3,3.5017768656405552,0.03779289493575208
4,3.501729763554337,0.03665910808767952
5,3.5016418190860246,0.03665910808767952
6,3.5015522657878817,0.03665910808767952
7,3.501586638430439,0.03779289493575208
8,3.5014491960665355,0.03826530612244898
9,3.5027081396934756,0.036564625850340135
10,3.499827288716288,0.037226001511715796
11,3.4998166306128757,0.036564625850340135
12,3.499661076546436,0.038170823885109596
13,3.499744146228828,0.03713151927437642
14,3.49970002951085,0.038170823885109596
15,3.499625767619882,0.03713151927437642
16,3.499611924114501,0.03713151927437642
17,3.4989815148456658,0.03826530612244898
18,3.4989439312112394,0.03826530612244898
19,3.498837512997363,0.03826530612244898
20,3.498870966656138,0.038170823885109596
21,3.4988372909779453,0.03826530612244898
22,3.498821191236275,0.038170823885109596
23,3.498918813913047,0.038170823885109596
24,3.4984972556251877,0.038170823885109596
25,3.4985130342316286,0.03826530612244898
26,3.4984785169700916,0.038170823885109596
27,3.498453096647832,0.03826530612244898
28,3.498486137534305,0.03826530612244898
29,3.4984979999849317,0.03826530612244898
30,3.498472144273944,0.03779289493575208
31,3.498318525849196,0.038170823885109596
32,3.4982929934359643,0.03826530612244898
