epoch,train_loss,test_acc
1,0.6005205024802496,0.747260015117158
2,0.5736487869367578,0.7442365835222978
3,0.5596068328920856,0.746031746031746
4,0.5507844333520732,0.7465986394557823
5,0.5451891573535973,0.7474489795918368
6,0.5399442530565882,0.7471655328798186
7,0.5330095510431428,0.7459372637944066
8,0.5294432071173453,0.74848828420257
9,0.5240826520812575,0.7462207105064248
10,0.5202909378350367,0.7461262282690854
11,0.5167130057390945,0.7489606953892668
12,0.5140479941284305,0.7486772486772487
13,0.5117641099343585,0.7462207105064248
14,0.5090408879680698,0.7458427815570673
15,0.5045711700090025,0.7477324263038548
16,0.5030663926562665,0.7462207105064248
17,0.5004854268666838,0.7468820861678005
18,0.49616220891926205,0.7445200302343159
19,0.49342119453850786,0.7459372637944066
20,0.4911450171168789,0.7463151927437641
21,0.49100380970372093,0.7448034769463341
22,0.48693998032956975,0.7461262282690854
23,0.4878321381247773,0.745275888133031
24,0.48514117938005286,0.7445200302343159
25,0.48327471050050164,0.7443310657596371
26,0.48180879276310595,0.7437641723356009
27,0.47897733728811764,0.7433862433862434
28,0.47804647689165713,0.7433862433862434
29,0.4765159406742181,0.7440476190476191
30,0.47197981697992225,0.7442365835222978
31,0.4714434450423276,0.7433862433862434
32,0.4707664290973839,0.7443310657596371
33,0.46842706358892305,0.7433862433862434
34,0.4655540080815666,0.7425359032501889
35,0.46757431267475597,0.7454648526077098
36,0.46551129529963636,0.7424414210128496
37,0.4629854209614088,0.7428193499622071
38,0.46141287012029936,0.7414021164021164
39,0.45910959501024995,0.7434807256235828
40,0.4580031356247014,0.7426303854875284
41,0.45865617666002123,0.7422524565381708
