epoch,train_loss,test_acc
1,0.5967707328008416,0.7465986394557823
2,0.5673311651344337,0.7444255479969766
3,0.5534270666511512,0.7469765684051398
4,0.5440397155319797,0.7466931216931217
5,0.5343294740807285,0.7469765684051398
6,0.5293846390296678,0.7456538170823885
7,0.5248800404412068,0.7454648526077098
8,0.5196383747054674,0.7459372637944066
9,0.5136969363146539,0.7458427815570673
10,0.5099436966695302,0.7462207105064248
11,0.5062650515615534,0.7463151927437641
12,0.504053904356059,0.7448979591836735
13,0.5014601764652824,0.7437641723356009
14,0.49761889390056097,0.7455593348450491
15,0.49370171805211566,0.7483938019652305
16,0.49157657243525404,0.7448034769463341
17,0.4867460659859267,0.7456538170823885
18,0.4846541901525231,0.746031746031746
19,0.4830316624245856,0.7447089947089947
20,0.48117736219171536,0.7434807256235828
21,0.47896570426525265,0.7454648526077098
22,0.47461909773736316,0.7443310657596371
23,0.473961129007426,0.7442365835222978
24,0.47033215835071024,0.7445200302343159
25,0.4694346443849221,0.7441421012849584
26,0.4673008804004682,0.7451814058956916
27,0.4674905845944686,0.7431972789115646
28,0.46347036399791974,0.7426303854875284
29,0.46400952242309185,0.745275888133031
30,0.46038582713504406,0.7447089947089947
31,0.46238312594035047,0.7450869236583523
32,0.4585992907879991,0.7423469387755102
33,0.45833302563646255,0.7420634920634921
34,0.4539019840946161,0.7422524565381708
35,0.45706928546032893,0.7436696900982616
36,0.4524390526828289,0.7419690098261527
37,0.45200142948180777,0.743291761148904
38,0.4499651412940665,0.7408352229780801
39,0.4473545904371969,0.7415910808767952
40,0.4487978434605483,0.7415910808767952
41,0.4440629840578577,0.7448979591836735
42,0.4438153362480286,0.7418745275888133
43,0.4426171403259985,0.7422524565381708
44,0.4396299570010453,0.7431972789115646
45,0.4394785701701993,0.7397014361300076
