epoch,train_loss,test_acc
1,0.5638333187746173,0.7516061980347695
2,0.5558896377240606,0.749244142101285
3,0.554528324458627,0.74848828420257
4,0.5518740037581458,0.7489606953892668
5,0.5548175860883405,0.74848828420257
6,0.554044269854576,0.747260015117158
7,0.5490454676577249,0.7470710506424793
8,0.546329082376292,0.7497165532879818
9,0.5451375992373139,0.7485827664399093
10,0.5430551275036503,0.7475434618291761
11,0.5419446218685611,0.7471655328798186
12,0.5394479982675991,0.7474489795918368
13,0.5389052995326432,0.748015873015873
14,0.5419931837631417,0.7488662131519275
15,0.5384114224306017,0.7485827664399093
16,0.5348243234652353,0.7462207105064248
17,0.5340281710132833,0.7469765684051398
18,0.5310228116647006,0.7465986394557823
19,0.5311815425266462,0.7489606953892668
20,0.5327933145291366,0.746504157218443
21,0.529259626098253,0.7481103552532123
22,0.5274507041586928,0.7477324263038548
23,0.5275026633434465,0.747260015117158
24,0.5265713421274497,0.7465986394557823
25,0.5252976016488521,0.7476379440665155
26,0.5250387323466964,0.7457482993197279
27,0.5229120141181051,0.7464096749811036
28,0.5228432268073229,0.7463151927437641
29,0.5234992852771003,0.7471655328798186
30,0.5207008147092701,0.7444255479969766
31,0.519102683696313,0.7473544973544973
