epoch,train_loss,test_acc
1,3.5706938111412643,0.10459183673469388
2,3.1004729672804623,0.18537414965986396
3,2.704867243946995,0.3610166288737717
4,2.267159328709384,0.4499244142101285
5,1.993649724659736,0.5077475434618292
6,1.8379167925653723,0.5284391534391535
7,1.7328884457424565,0.5610355253212396
8,1.6420602732685057,0.5747354497354498
9,1.5774506922481821,0.5819160997732427
10,1.5093897050380347,0.6025132275132276
11,1.4553574784092171,0.6058201058201058
12,1.4084732101797968,0.6179138321995464
13,1.3613287081613923,0.6246220710506425
14,1.317337216433484,0.6313303099017384
15,1.2935457277820583,0.641156462585034
16,1.2529877668875955,0.6523998488284203
17,1.2253756290210167,0.6494708994708994
18,1.1971958820691906,0.6535336356764928
19,1.1752354775246399,0.6660997732426304
20,1.148414154712305,0.6686507936507936
21,1.1290431930905296,0.6664777021919879
22,1.113587287367967,0.6762093726379441
23,1.0954331040202174,0.6778155706727135
24,1.0761573967479525,0.6805555555555556
25,1.0539189423698416,0.6872637944066515
26,1.0398740981756875,0.6806500377928949
27,1.0260094558300614,0.6855631141345427
28,1.015517958392722,0.6872637944066515
29,0.9982238461010761,0.6955782312925171
30,0.9790280247536556,0.6952947845804989
31,0.9771313868457407,0.7019085411942555
32,0.9648146172724974,0.7026643990929705
33,0.9517659276205757,0.7031368102796675
34,0.9466375891944269,0.7031368102796675
35,0.9584113704554528,0.6946334089191232
36,0.9238391874283439,0.7094671201814059
37,0.9100896684355747,0.7084278155706727
38,0.9211959031298588,0.7075774754346182
39,0.9073431474056013,0.7162698412698413
40,0.8876673142655906,0.7046485260770975
41,0.9070900637186213,0.7140022675736961
42,0.9052824909409518,0.7135298563869993
43,0.8677978522833423,0.7101284958427816
44,0.8566974006362332,0.7071050642479214
45,0.8612401126373562,0.7064436885865457
46,0.8602737705768821,0.7186318972033258
47,0.8640983218914257,0.7054043839758125
48,0.8689587805321608,0.7226001511715797
49,0.8416272856841372,0.7187263794406652
50,0.9697821639697838,0.7185374149659864
51,0.8295312608090297,0.7243008314436886
52,0.8142558848731732,0.7203325774754347
53,0.8155647263280028,0.723167044595616
54,0.815364890222917,0.7250566893424036
55,0.8336668016666368,0.7259070294784581
56,0.807589206768542,0.7268518518518519
57,0.810765874764276,0.7230725623582767
58,0.797217412983389,0.7235449735449735
59,0.8050047390314997,0.7269463340891912
60,0.7931273277970038,0.7065381708238851
61,0.7938197272930376,0.7124905517762661
62,0.7840289278680955,0.7239229024943311
63,0.7769011019398926,0.7084278155706727
64,0.783742144557444,0.7295918367346939
65,0.8422845940831387,0.7170256991685563
66,0.8434314293025212,0.7242063492063492
67,0.7682420398733063,0.7285525321239606
68,0.7706345606507988,0.7308201058201058
69,0.7675935319672006,0.7145691609977324
70,0.7620226063020105,0.7352607709750567
71,0.7540876144882593,0.7307256235827665
72,0.7661645058331306,0.7255291005291006
73,0.7597012121796337,0.7193877551020408
74,0.7602976741479007,0.7248677248677249
75,0.7446534420537481,0.7279856386999244
76,0.7532616914647687,0.7226001511715797
77,1.0751006420101978,0.33097127739984883
78,1.3612427918728967,0.703042328042328
79,1.0604172139481352,0.6939720332577476
80,0.9589996678038069,0.718442932728647
81,0.862200184000863,0.7249622071050642
82,0.8421428434252288,0.7301587301587301
83,0.8292966643608797,0.7284580498866213
84,0.8180195950731939,0.7349773242630385
85,0.8211477163021796,0.7262849584278156
86,0.790483633204112,0.72713529856387
