epoch,train_loss,test_acc
1,0.56755608873099,0.747260015117158
2,0.5649724139047763,0.7450869236583523
3,0.5584008586971344,0.7490551776266062
4,0.5565559480162245,0.7430083144368859
5,0.5520715504293932,0.7470710506424793
6,0.54740080296573,0.7466931216931217
7,0.5451635173296673,0.7440476190476191
8,0.5459096328082944,0.7448979591836735
9,0.5416330083777378,0.7474489795918368
10,0.5417688844863815,0.7461262282690854
11,0.535594841532537,0.7473544973544973
12,0.5341997097472668,0.7461262282690854
13,0.5303459392577369,0.7477324263038548
14,0.5300987687392001,0.7461262282690854
15,0.5286008563641148,0.7465986394557823
16,0.524036881790457,0.7476379440665155
17,0.5239455829319408,0.7461262282690854
18,0.5214249967405248,0.749244142101285
19,0.5183781707922113,0.7462207105064248
20,0.5164612821725325,0.7476379440665155
21,0.5155129399728199,0.7458427815570673
22,0.5135797707699042,0.748015873015873
23,0.5108729242447493,0.7474489795918368
24,0.5128153160358557,0.746031746031746
25,0.5092440480658488,0.7482993197278912
26,0.5066261755415004,0.7483938019652305
27,0.5077298278398551,0.7474489795918368
28,0.5072101223765072,0.7466931216931217
29,0.505352726426343,0.7463151927437641
30,0.5018568047276928,0.7455593348450491
31,0.5021007565724455,0.7471655328798186
32,0.4986099383692755,0.7463151927437641
33,0.4965056539376781,0.7490551776266062
34,0.4946354396355452,0.7476379440665155
35,0.49790578427010385,0.7461262282690854
36,0.49823533130745606,0.7494331065759637
37,0.49609866490547466,0.7494331065759637
38,0.4909350948666243,0.747260015117158
39,0.49236503102238877,0.747260015117158
40,0.49040464898270436,0.7482993197278912
41,0.4897645496345672,0.746031746031746
42,0.4874397830976749,0.7474489795918368
43,0.4864435768537526,0.7482048374905518
44,0.4879564543405846,0.7457482993197279
45,0.489065843183341,0.7482048374905518
46,0.48941813896583336,0.7473544973544973
47,0.4869661720268793,0.7465986394557823
48,0.4879233237766525,0.7447089947089947
49,0.48673768808064916,0.7464096749811036
50,0.4798109881333582,0.7458427815570673
51,0.4798211053022425,0.7473544973544973
52,0.47903908499747444,0.7471655328798186
53,0.4760037399850872,0.7457482993197279
54,0.4766431341646151,0.7446145124716553
55,0.47496841697548786,0.7479213907785336
56,0.4745306285890664,0.7466931216931217
57,0.4719872311389342,0.7468820861678005
58,0.47260989855876534,0.7455593348450491
59,0.47307388097315656,0.7461262282690854
60,0.4715443905127937,0.7470710506424793
61,0.4696117431357945,0.7464096749811036
62,0.4683252205366152,0.746031746031746
63,0.46884963653143286,0.7464096749811036
64,0.4662927004589804,0.7468820861678005
65,0.4667265784799298,0.7473544973544973
66,0.46742300576932,0.7475434618291761
